,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,score
3023,1.0,0,0.05,10,5,100,1.0,10,0.5,0.5867437608648551
1522,0.8,0,0.05,10,1,100,0.1,10,0.4,0.5863931707946897
3004,1.0,0,0.05,10,3,100,1.0,10,0.4,0.5858458829652575
2992,1.0,0,0.05,10,3,100,0.0,10,0.4,0.585634442989883
2234,0.8,1,0.1,20,3,100,0.0,1,0.5,0.5855631537914334
2979,1.0,0,0.05,10,1,100,0.1,10,0.3,0.5851735424484634
65,0.6,0,0.05,10,1,100,0.1,10,0.5,0.5850509010439208
2384,0.8,1,0.2,20,1,100,0.1,1,0.5,0.5849303912361122
3010,1.0,0,0.05,10,5,100,0.0,10,0.4,0.5849053817758153
1516,0.8,0,0.05,10,1,100,0.0,10,0.4,0.5848923188599638
1559,0.8,0,0.05,10,5,100,0.1,10,0.5,0.5848554183953848
2216,0.8,1,0.1,20,1,100,0.0,1,0.5,0.5846694453111553
3022,1.0,0,0.05,10,5,100,1.0,10,0.4,0.5846271582920868
2980,1.0,0,0.05,10,1,100,0.1,10,0.4,0.584595715464702
83,0.6,0,0.05,10,3,100,0.1,10,0.5,0.5845496951190733
1541,0.8,0,0.05,10,3,100,0.1,10,0.5,0.5845106242278744
2090,0.8,1,0.05,20,5,100,0.0,1,0.5,0.5844944731644529
2974,1.0,0,0.05,10,1,100,0.0,10,0.4,0.5844603887881583
1529,0.8,0,0.05,10,1,100,1.0,10,0.5,0.584388697456081
2054,0.8,1,0.05,20,1,100,0.0,1,0.5,0.5843592284070507
1534,0.8,0,0.05,10,3,100,0.0,10,0.4,0.5842350318676185
2396,0.8,1,0.2,20,3,100,0.0,1,0.5,0.5840770592525628
1553,0.8,0,0.05,10,5,100,0.0,10,0.5,0.5838882601130216
2402,0.8,1,0.2,20,3,100,0.1,1,0.5,0.5837782278011088
2072,0.8,1,0.05,20,3,100,0.0,1,0.5,0.5837780193062121
2997,1.0,0,0.05,10,3,100,0.1,10,0.3,0.5836940832313944
95,0.6,0,0.05,10,5,100,0.0,10,0.5,0.5836720922131445
2252,0.8,1,0.1,20,5,100,0.0,1,0.5,0.5836163891261946
2378,0.8,1,0.2,20,1,100,0.0,1,0.5,0.5835971055170714
2414,0.8,1,0.2,20,5,100,0.0,1,0.5,0.5835776943453019
3016,1.0,0,0.05,10,5,100,0.1,10,0.4,0.5834769904110751
3009,1.0,0,0.05,10,5,100,0.0,10,0.3,0.5834605447492656
2991,1.0,0,0.05,10,3,100,0.0,10,0.3,0.5830967830325353
77,0.6,0,0.05,10,3,100,0.0,10,0.5,0.5830636246976587
3015,1.0,0,0.05,10,5,100,0.1,10,0.3,0.5829614820156055
2986,1.0,0,0.05,10,1,100,1.0,10,0.4,0.582950743552682
102,0.6,0,0.05,10,5,100,1.0,1,0.3,0.5829405128425822
1558,0.8,0,0.05,10,5,100,0.1,10,0.4,0.5829089036344239
1547,0.8,0,0.05,10,3,100,1.0,10,0.5,0.5828907499199993
2973,1.0,0,0.05,10,1,100,0.0,10,0.3,0.5828603770238269
1552,0.8,0,0.05,10,5,100,0.0,10,0.4,0.5828556260930131
2420,0.8,1,0.2,20,5,100,0.1,1,0.5,0.5827671408803985
59,0.6,0,0.05,10,1,100,0.0,10,0.5,0.5824188433303779
2078,0.8,1,0.05,20,3,100,0.1,1,0.5,0.5823172880718797
1521,0.8,0,0.05,10,1,100,0.1,10,0.3,0.582262926687892
2096,0.8,1,0.05,20,5,100,0.1,1,0.5,0.5822341400106644
1565,0.8,0,0.05,10,5,100,1.0,10,0.5,0.582161444582445
101,0.6,0,0.05,10,5,100,0.1,10,0.5,0.5821179465903683
3533,1.0,1,0.05,20,3,100,0.0,10,0.5,0.5819033551429864
3695,1.0,1,0.1,20,3,100,0.0,10,0.5,0.581783312689008
3875,1.0,1,0.2,20,5,100,0.0,10,0.5,0.5817419189889662
1564,0.8,0,0.05,10,5,100,1.0,10,0.4,0.5815869426366644
2258,0.8,1,0.1,20,5,100,0.1,1,0.5,0.5815532220698867
3551,1.0,1,0.05,20,5,100,0.0,10,0.5,0.5815377323764304
2240,0.8,1,0.1,20,3,100,0.1,1,0.5,0.5815346353380847
3677,1.0,1,0.1,20,1,100,0.0,10,0.5,0.5814347897653629
2222,0.8,1,0.1,20,1,100,0.1,1,0.5,0.5814301153937618
3713,1.0,1,0.1,20,5,100,0.0,10,0.5,0.5813979383030429
2060,0.8,1,0.05,20,1,100,0.1,1,0.5,0.5813217513838128
3515,1.0,1,0.05,20,1,100,0.0,10,0.5,0.580827059041676
58,0.6,0,0.05,10,1,100,0.0,10,0.4,0.58047743945923
3839,1.0,1,0.2,20,1,100,0.0,10,0.5,0.5802350874353193
3857,1.0,1,0.2,20,3,100,0.0,10,0.5,0.5802313885636081
1528,0.8,0,0.05,10,1,100,1.0,10,0.4,0.5798915540733129
3521,1.0,1,0.05,20,1,100,0.1,10,0.5,0.5798559911445403
76,0.6,0,0.05,10,3,100,0.0,10,0.4,0.5797441254183646
71,0.6,0,0.05,10,1,100,1.0,10,0.5,0.5795392918287868
3539,1.0,1,0.05,20,3,100,0.1,10,0.5,0.5793800376130861
3701,1.0,1,0.1,20,3,100,0.1,10,0.5,0.5792744817558602
3683,1.0,1,0.1,20,1,100,0.1,10,0.5,0.5791462338123989
3719,1.0,1,0.1,20,5,100,0.1,10,0.5,0.5790667637973936
3881,1.0,1,0.2,20,5,100,0.1,10,0.5,0.5789323236220894
2985,1.0,0,0.05,10,1,100,1.0,10,0.3,0.5787125662709677
3021,1.0,0,0.05,10,5,100,1.0,10,0.3,0.5786331923045379
3003,1.0,0,0.05,10,3,100,1.0,10,0.3,0.5782662301611836
1515,0.8,0,0.05,10,1,100,0.0,10,0.3,0.5782313741032631
82,0.6,0,0.05,10,3,100,0.1,10,0.4,0.5781960372522491
3557,1.0,1,0.05,20,5,100,0.1,10,0.5,0.5781388738512918
64,0.6,0,0.05,10,1,100,0.1,10,0.4,0.5780855610961164
1546,0.8,0,0.05,10,3,100,1.0,10,0.4,0.5775731795075988
1533,0.8,0,0.05,10,3,100,0.0,10,0.3,0.5773705317851056
3845,1.0,1,0.2,20,1,100,0.1,10,0.5,0.5773143465135611
3863,1.0,1,0.2,20,3,100,0.1,10,0.5,0.5773111281662786
1539,0.8,0,0.05,10,3,100,0.1,10,0.3,0.5771312766716267
107,0.6,0,0.05,10,5,100,1.0,10,0.5,0.5766037164095938
1551,0.8,0,0.05,10,5,100,0.0,10,0.3,0.5764103256367954
1557,0.8,0,0.05,10,5,100,0.1,10,0.3,0.5762895422489158
100,0.6,0,0.05,10,5,100,0.1,10,0.4,0.5761916216370662
63,0.6,0,0.05,10,1,100,0.1,10,0.3,0.5760037949431338
94,0.6,0,0.05,10,5,100,0.0,10,0.4,0.5757609583301588
938,0.6,1,0.2,20,3,100,0.0,1,0.5,0.5753502083608826
776,0.6,1,0.1,20,3,100,0.0,1,0.5,0.5750115270638259
57,0.6,0,0.05,10,1,100,0.0,10,0.3,0.5745595875145936
81,0.6,0,0.05,10,3,100,0.1,10,0.3,0.5744229355214331
758,0.6,1,0.1,20,1,100,0.0,1,0.5,0.5743557099373068
3560,1.0,1,0.05,20,5,100,1.0,1,0.5,0.5739377757150701
920,0.6,1,0.2,20,1,100,0.0,1,0.5,0.5738578409823771
3704,1.0,1,0.1,20,3,100,1.0,1,0.5,0.5738515338744059
89,0.6,0,0.05,10,3,100,1.0,10,0.5,0.5737975300498339
3686,1.0,1,0.1,20,1,100,1.0,1,0.5,0.5736923581465758
3866,1.0,1,0.2,20,3,100,1.0,1,0.5,0.5732444919469872
794,0.6,1,0.1,20,5,100,0.0,1,0.5,0.5731750222559877
88,0.6,0,0.05,10,3,100,1.0,10,0.4,0.5731603022921365
93,0.6,0,0.05,10,5,100,0.0,10,0.3,0.573156442865254
3884,1.0,1,0.2,20,5,100,1.0,1,0.5,0.5729893225876175
944,0.6,1,0.2,20,3,100,0.1,1,0.5,0.5729575798740538
596,0.6,1,0.05,20,1,100,0.0,1,0.5,0.5729277746744484
75,0.6,0,0.05,10,3,100,0.0,10,0.3,0.5729271460844375
956,0.6,1,0.2,20,5,100,0.0,1,0.5,0.5728526975447604
926,0.6,1,0.2,20,1,100,0.1,1,0.5,0.5728240580797246
614,0.6,1,0.05,20,3,100,0.0,1,0.5,0.5727045382951019
632,0.6,1,0.05,20,5,100,0.0,1,0.5,0.5725816693521374
99,0.6,0,0.05,10,5,100,0.1,10,0.3,0.5725812009745441
962,0.6,1,0.2,20,5,100,0.1,1,0.5,0.5724660042059098
3524,1.0,1,0.05,20,1,100,1.0,1,0.5,0.5724541225200594
70,0.6,0,0.05,10,1,100,1.0,10,0.4,0.5722483206533009
3848,1.0,1,0.2,20,1,100,1.0,1,0.5,0.5722047153567594
1545,0.8,0,0.05,10,3,100,1.0,10,0.3,0.5722023999366443
106,0.6,0,0.05,10,5,100,1.0,10,0.4,0.5719576091591809
3542,1.0,1,0.05,20,3,100,1.0,1,0.5,0.5719250709181214
3722,1.0,1,0.1,20,5,100,1.0,1,0.5,0.5718756402675668
782,0.6,1,0.1,20,3,100,0.1,1,0.5,0.5717927792654507
2219,0.8,1,0.1,20,1,100,0.0,10,0.5,0.5711625047126575
638,0.6,1,0.05,20,5,100,0.1,1,0.5,0.5708430684120306
1527,0.8,0,0.05,10,1,100,1.0,10,0.3,0.5706527753052756
2237,0.8,1,0.1,20,3,100,0.0,10,0.5,0.5705559835928569
764,0.6,1,0.1,20,1,100,0.1,1,0.5,0.5703470499762684
2381,0.8,1,0.2,20,1,100,0.0,10,0.5,0.5701985328694421
2255,0.8,1,0.1,20,5,100,0.0,10,0.5,0.5701503523433373
602,0.6,1,0.05,20,1,100,0.1,1,0.5,0.569969212523015
800,0.6,1,0.1,20,5,100,0.1,1,0.5,0.5697453722295637
2057,0.8,1,0.05,20,1,100,0.0,10,0.5,0.5696222189420685
620,0.6,1,0.05,20,3,100,0.1,1,0.5,0.5696053447909453
2093,0.8,1,0.05,20,5,100,0.0,10,0.5,0.5694508920176189
1563,0.8,0,0.05,10,5,100,1.0,10,0.3,0.569203851220841
2075,0.8,1,0.05,20,3,100,0.0,10,0.5,0.5688436175239578
2399,0.8,1,0.2,20,3,100,0.0,10,0.5,0.5685297945841565
2225,0.8,1,0.1,20,1,100,0.1,10,0.5,0.5683010178465747
2063,0.8,1,0.05,20,1,100,0.1,10,0.5,0.5682011832981243
2243,0.8,1,0.1,20,3,100,0.1,10,0.5,0.5681354002521111
2081,0.8,1,0.05,20,3,100,0.1,10,0.5,0.5678394113121457
2405,0.8,1,0.2,20,3,100,0.1,10,0.5,0.5677715395573368
2387,0.8,1,0.2,20,1,100,0.1,10,0.5,0.5677687502258563
69,0.6,0,0.05,10,1,100,1.0,10,0.3,0.5674079604059943
2099,0.8,1,0.05,20,5,100,0.1,10,0.5,0.5671204860610213
2417,0.8,1,0.2,20,5,100,0.0,10,0.5,0.5669224768294269
2423,0.8,1,0.2,20,5,100,0.1,10,0.5,0.5667737372196171
2261,0.8,1,0.1,20,5,100,0.1,10,0.5,0.5664816789176796
87,0.6,0,0.05,10,3,100,1.0,10,0.3,0.5655361122099265
2390,0.8,1,0.2,20,1,100,1.0,1,0.5,0.5635067204477537
105,0.6,0,0.05,10,5,100,1.0,10,0.3,0.5632437817632633
3869,1.0,1,0.2,20,3,100,1.0,10,0.5,0.5630410127702037
3851,1.0,1,0.2,20,1,100,1.0,10,0.5,0.5626134117936553
3545,1.0,1,0.05,20,3,100,1.0,10,0.5,0.5617322810977989
3689,1.0,1,0.1,20,1,100,1.0,10,0.5,0.5617086098771372
3707,1.0,1,0.1,20,3,100,1.0,10,0.5,0.5616711633357065
2408,0.8,1,0.2,20,3,100,1.0,1,0.5,0.5616350234058174
3527,1.0,1,0.05,20,1,100,1.0,10,0.5,0.5615772416506115
2426,0.8,1,0.2,20,5,100,1.0,1,0.5,0.5614166080640546
3887,1.0,1,0.2,20,5,100,1.0,10,0.5,0.5613609031859437
2228,0.8,1,0.1,20,1,100,1.0,1,0.5,0.5613323529390029
2264,0.8,1,0.1,20,5,100,1.0,1,0.5,0.5612240583682694
3563,1.0,1,0.05,20,5,100,1.0,10,0.5,0.5611384736541419
2246,0.8,1,0.1,20,3,100,1.0,1,0.5,0.5609894677831401
2102,0.8,1,0.05,20,5,100,1.0,1,0.5,0.5606640343066641
2066,0.8,1,0.05,20,1,100,1.0,1,0.5,0.5605570946596841
3725,1.0,1,0.1,20,5,100,1.0,10,0.5,0.5605537804718764
2084,0.8,1,0.05,20,3,100,1.0,1,0.5,0.5604831955948013
923,0.6,1,0.2,20,1,100,0.0,10,0.5,0.5599978960914705
941,0.6,1,0.2,20,3,100,0.0,10,0.5,0.5599648961252361
959,0.6,1,0.2,20,5,100,0.0,10,0.5,0.559020064647447
761,0.6,1,0.1,20,1,100,0.0,10,0.5,0.5580739209779292
797,0.6,1,0.1,20,5,100,0.0,10,0.5,0.5577999747658069
779,0.6,1,0.1,20,3,100,0.0,10,0.5,0.5577295091766492
599,0.6,1,0.05,20,1,100,0.0,10,0.5,0.5565764486857351
635,0.6,1,0.05,20,5,100,0.0,10,0.5,0.5564981250929423
617,0.6,1,0.05,20,3,100,0.0,10,0.5,0.5559894361321296
785,0.6,1,0.1,20,3,100,0.1,10,0.5,0.5559874077736546
767,0.6,1,0.1,20,1,100,0.1,10,0.5,0.5559130269580258
965,0.6,1,0.2,20,5,100,0.1,10,0.5,0.5552362346835021
803,0.6,1,0.1,20,5,100,0.1,10,0.5,0.5549593662906867
929,0.6,1,0.2,20,1,100,0.1,10,0.5,0.5548827805279093
947,0.6,1,0.2,20,3,100,0.1,10,0.5,0.5547304067061024
641,0.6,1,0.05,20,5,100,0.1,10,0.5,0.5546046993128518
623,0.6,1,0.05,20,3,100,0.1,10,0.5,0.5538272218761104
605,0.6,1,0.05,20,1,100,0.1,10,0.5,0.5537286269201288
3871,1.0,1,0.2,20,5,100,0.0,1,0.4,0.5524430737110557
3547,1.0,1,0.05,20,5,100,0.0,1,0.4,0.5514735689180058
3691,1.0,1,0.1,20,3,100,0.0,1,0.4,0.5513292419245095
3511,1.0,1,0.05,20,1,100,0.0,1,0.4,0.5511566371728656
3877,1.0,1,0.2,20,5,100,0.1,1,0.4,0.5510780032697788
3673,1.0,1,0.1,20,1,100,0.0,1,0.4,0.5508177612836149
2411,0.8,1,0.2,20,3,100,1.0,10,0.5,0.5507850244592646
3859,1.0,1,0.2,20,3,100,0.1,1,0.4,0.5507471175811739
3835,1.0,1,0.2,20,1,100,0.0,1,0.4,0.5507178146976717
3529,1.0,1,0.05,20,3,100,0.0,1,0.4,0.5507174420898883
968,0.6,1,0.2,20,5,100,1.0,1,0.5,0.5506849021570597
3853,1.0,1,0.2,20,3,100,0.0,1,0.4,0.5506529899936402
2393,0.8,1,0.2,20,1,100,1.0,10,0.5,0.5504701511724651
2231,0.8,1,0.1,20,1,100,1.0,10,0.5,0.5504292624494911
2267,0.8,1,0.1,20,5,100,1.0,10,0.5,0.5503723490295294
2249,0.8,1,0.1,20,3,100,1.0,10,0.5,0.5502760826344937
932,0.6,1,0.2,20,1,100,1.0,1,0.5,0.5501441780601606
950,0.6,1,0.2,20,3,100,1.0,1,0.5,0.5500438852265619
3841,1.0,1,0.2,20,1,100,0.1,1,0.4,0.5499760317532644
2429,0.8,1,0.2,20,5,100,1.0,10,0.5,0.549939284128495
3709,1.0,1,0.1,20,5,100,0.0,1,0.4,0.5499183561728903
770,0.6,1,0.1,20,1,100,1.0,1,0.5,0.5498254240877892
788,0.6,1,0.1,20,3,100,1.0,1,0.5,0.5496736218701954
2105,0.8,1,0.05,20,5,100,1.0,10,0.5,0.5494373230576615
3715,1.0,1,0.1,20,5,100,0.1,1,0.4,0.5492044454421776
626,0.6,1,0.05,20,3,100,1.0,1,0.5,0.5491888012052006
2087,0.8,1,0.05,20,3,100,1.0,10,0.5,0.5491214809497114
3679,1.0,1,0.1,20,1,100,0.1,1,0.4,0.5490778103586753
644,0.6,1,0.05,20,5,100,1.0,1,0.5,0.5490609237123009
608,0.6,1,0.05,20,1,100,1.0,1,0.5,0.5490363691125066
2069,0.8,1,0.05,20,1,100,1.0,10,0.5,0.5490063325939846
3697,1.0,1,0.1,20,3,100,0.1,1,0.4,0.5484894967577795
806,0.6,1,0.1,20,5,100,1.0,1,0.5,0.5480728050826761
3535,1.0,1,0.05,20,3,100,0.1,1,0.4,0.5477138522308959
3553,1.0,1,0.05,20,5,100,0.1,1,0.4,0.547353649348357
3517,1.0,1,0.05,20,1,100,0.1,1,0.4,0.5470845831889252
2395,0.8,1,0.2,20,3,100,0.0,1,0.4,0.5448040960409903
2377,0.8,1,0.2,20,1,100,0.0,1,0.4,0.542332165888927
2413,0.8,1,0.2,20,5,100,0.0,1,0.4,0.5418294272821657
2251,0.8,1,0.1,20,5,100,0.0,1,0.4,0.5404420105149008
2215,0.8,1,0.1,20,1,100,0.0,1,0.4,0.5399149217937479
2233,0.8,1,0.1,20,3,100,0.0,1,0.4,0.5383877085697413
2053,0.8,1,0.05,20,1,100,0.0,1,0.4,0.5383126908205677
2089,0.8,1,0.05,20,5,100,0.0,1,0.4,0.5382506015699947
2071,0.8,1,0.05,20,3,100,0.0,1,0.4,0.5380330633423044
2383,0.8,1,0.2,20,1,100,0.1,1,0.4,0.5378215048155491
971,0.6,1,0.2,20,5,100,1.0,10,0.5,0.5378033346807157
2401,0.8,1,0.2,20,3,100,0.1,1,0.4,0.5376887591530612
2257,0.8,1,0.1,20,5,100,0.1,1,0.4,0.537280343139404
611,0.6,1,0.05,20,1,100,1.0,10,0.5,0.5368805215574766
647,0.6,1,0.05,20,5,100,1.0,10,0.5,0.5368068142781286
2419,0.8,1,0.2,20,5,100,0.1,1,0.4,0.5368034261719085
629,0.6,1,0.05,20,3,100,1.0,10,0.5,0.5365932520578411
2239,0.8,1,0.1,20,3,100,0.1,1,0.4,0.5364583019288554
773,0.6,1,0.1,20,1,100,1.0,10,0.5,0.5364264997122499
791,0.6,1,0.1,20,3,100,1.0,10,0.5,0.5363800694456062
2077,0.8,1,0.05,20,3,100,0.1,1,0.4,0.5363410548892151
2221,0.8,1,0.1,20,1,100,0.1,1,0.4,0.5362527394867342
935,0.6,1,0.2,20,1,100,1.0,10,0.5,0.536136287328828
953,0.6,1,0.2,20,3,100,1.0,10,0.5,0.5361335148312139
809,0.6,1,0.1,20,5,100,1.0,10,0.5,0.5361190311092245
2059,0.8,1,0.05,20,1,100,0.1,1,0.4,0.5358485679873422
2095,0.8,1,0.05,20,5,100,0.1,1,0.4,0.5353456024618446
3676,1.0,1,0.1,20,1,100,0.0,10,0.4,0.5349456607109844
3550,1.0,1,0.05,20,5,100,0.0,10,0.4,0.5346221180970613
3838,1.0,1,0.2,20,1,100,0.0,10,0.4,0.5343362116091948
3856,1.0,1,0.2,20,3,100,0.0,10,0.4,0.5340528153683011
3532,1.0,1,0.05,20,3,100,0.0,10,0.4,0.5339440597027978
3712,1.0,1,0.1,20,5,100,0.0,10,0.4,0.5336634380108537
3514,1.0,1,0.05,20,1,100,0.0,10,0.4,0.5336359374557842
3874,1.0,1,0.2,20,5,100,0.0,10,0.4,0.5333816025409774
3694,1.0,1,0.1,20,3,100,0.0,10,0.4,0.5332657337500131
3718,1.0,1,0.1,20,5,100,0.1,10,0.4,0.5325606727110392
3538,1.0,1,0.05,20,3,100,0.1,10,0.4,0.5323550939109082
3556,1.0,1,0.05,20,5,100,0.1,10,0.4,0.5322251175569117
3520,1.0,1,0.05,20,1,100,0.1,10,0.4,0.5320751432165693
3682,1.0,1,0.1,20,1,100,0.1,10,0.4,0.5319844069088093
3700,1.0,1,0.1,20,3,100,0.1,10,0.4,0.5319539340625873
3880,1.0,1,0.2,20,5,100,0.1,10,0.4,0.5311047699125817
3844,1.0,1,0.2,20,1,100,0.1,10,0.4,0.5295559548758697
3862,1.0,1,0.2,20,3,100,0.1,10,0.4,0.5295452228592328
775,0.6,1,0.1,20,3,100,0.0,1,0.4,0.5277718412491831
3883,1.0,1,0.2,20,5,100,1.0,1,0.4,0.5275664632268252
937,0.6,1,0.2,20,3,100,0.0,1,0.4,0.5271057629339134
757,0.6,1,0.1,20,1,100,0.0,1,0.4,0.5270982801289403
955,0.6,1,0.2,20,5,100,0.0,1,0.4,0.527085428289829
793,0.6,1,0.1,20,5,100,0.0,1,0.4,0.5267882196661912
3559,1.0,1,0.05,20,5,100,1.0,1,0.4,0.5264269837956178
919,0.6,1,0.2,20,1,100,0.0,1,0.4,0.5264039848417033
2380,0.8,1,0.2,20,1,100,0.0,10,0.4,0.5263181074478986
631,0.6,1,0.05,20,5,100,0.0,1,0.4,0.5260997211490517
3721,1.0,1,0.1,20,5,100,1.0,1,0.4,0.525931689220856
3523,1.0,1,0.05,20,1,100,1.0,1,0.4,0.5258826811608719
613,0.6,1,0.05,20,3,100,0.0,1,0.4,0.5258069593798702
2398,0.8,1,0.2,20,3,100,0.0,10,0.4,0.525638336095379
3847,1.0,1,0.2,20,1,100,1.0,1,0.4,0.5255975014947671
3703,1.0,1,0.1,20,3,100,1.0,1,0.4,0.5255180980566976
3685,1.0,1,0.1,20,1,100,1.0,1,0.4,0.5254699029346331
3541,1.0,1,0.05,20,3,100,1.0,1,0.4,0.52543305989842
595,0.6,1,0.05,20,1,100,0.0,1,0.4,0.5253287467793795
3865,1.0,1,0.2,20,3,100,1.0,1,0.4,0.5252088183236389
2416,0.8,1,0.2,20,5,100,0.0,10,0.4,0.524792604162598
763,0.6,1,0.1,20,1,100,0.1,1,0.4,0.5245240876552495
781,0.6,1,0.1,20,3,100,0.1,1,0.4,0.5243454154180532
619,0.6,1,0.05,20,3,100,0.1,1,0.4,0.5237875198851226
961,0.6,1,0.2,20,5,100,0.1,1,0.4,0.5237262023298991
799,0.6,1,0.1,20,5,100,0.1,1,0.4,0.5230958473182641
637,0.6,1,0.05,20,5,100,0.1,1,0.4,0.5230725610551764
943,0.6,1,0.2,20,3,100,0.1,1,0.4,0.5228755327854521
925,0.6,1,0.2,20,1,100,0.1,1,0.4,0.5227358913329195
601,0.6,1,0.05,20,1,100,0.1,1,0.4,0.5226688683660602
2254,0.8,1,0.1,20,5,100,0.0,10,0.4,0.5218776171644574
2236,0.8,1,0.1,20,3,100,0.0,10,0.4,0.5216165385385712
2092,0.8,1,0.05,20,5,100,0.0,10,0.4,0.5215447119023959
2422,0.8,1,0.2,20,5,100,0.1,10,0.4,0.521493179860339
2074,0.8,1,0.05,20,3,100,0.0,10,0.4,0.5214609629143651
2056,0.8,1,0.05,20,1,100,0.0,10,0.4,0.5214575398707002
2404,0.8,1,0.2,20,3,100,0.1,10,0.4,0.5213452611767091
2386,0.8,1,0.2,20,1,100,0.1,10,0.4,0.5212649099632408
2218,0.8,1,0.1,20,1,100,0.0,10,0.4,0.5211387849632333
2260,0.8,1,0.1,20,5,100,0.1,10,0.4,0.5205753727838043
2224,0.8,1,0.1,20,1,100,0.1,10,0.4,0.5201818335492956
2062,0.8,1,0.05,20,1,100,0.1,10,0.4,0.52013373334565
2098,0.8,1,0.05,20,5,100,0.1,10,0.4,0.5198001269616686
2242,0.8,1,0.1,20,3,100,0.1,10,0.4,0.5197027040882682
2080,0.8,1,0.05,20,3,100,0.1,10,0.4,0.5196640812278954
2425,0.8,1,0.2,20,5,100,1.0,1,0.4,0.5165630491402371
3706,1.0,1,0.1,20,3,100,1.0,10,0.4,0.5145877364936071
2389,0.8,1,0.2,20,1,100,1.0,1,0.4,0.5140434503185796
2407,0.8,1,0.2,20,3,100,1.0,1,0.4,0.5140409298361636
3688,1.0,1,0.1,20,1,100,1.0,10,0.4,0.5139414634836725
3724,1.0,1,0.1,20,5,100,1.0,10,0.4,0.5136517249145095
2227,0.8,1,0.1,20,1,100,1.0,1,0.4,0.5135448614219225
3526,1.0,1,0.05,20,1,100,1.0,10,0.4,0.5134094058269383
2245,0.8,1,0.1,20,3,100,1.0,1,0.4,0.5133166283512184
2263,0.8,1,0.1,20,5,100,1.0,1,0.4,0.5132992138601912
3886,1.0,1,0.2,20,5,100,1.0,10,0.4,0.5132166635785909
2065,0.8,1,0.05,20,1,100,1.0,1,0.4,0.5131183399822637
3544,1.0,1,0.05,20,3,100,1.0,10,0.4,0.5131080215615256
3562,1.0,1,0.05,20,5,100,1.0,10,0.4,0.5130725921535417
2083,0.8,1,0.05,20,3,100,1.0,1,0.4,0.5130189081017743
3850,1.0,1,0.2,20,1,100,1.0,10,0.4,0.5126361420108647
3868,1.0,1,0.2,20,3,100,1.0,10,0.4,0.5126294513871015
2101,0.8,1,0.05,20,5,100,1.0,1,0.4,0.51197977102533
922,0.6,1,0.2,20,1,100,0.0,10,0.4,0.5114043767753532
940,0.6,1,0.2,20,3,100,0.0,10,0.4,0.5105231747309412
778,0.6,1,0.1,20,3,100,0.0,10,0.4,0.5098059429057935
958,0.6,1,0.2,20,5,100,0.0,10,0.4,0.5094733655339277
796,0.6,1,0.1,20,5,100,0.0,10,0.4,0.5094339350823474
760,0.6,1,0.1,20,1,100,0.0,10,0.4,0.5092746984020616
598,0.6,1,0.05,20,1,100,0.0,10,0.4,0.5089383255204883
616,0.6,1,0.05,20,3,100,0.0,10,0.4,0.5087178273437234
946,0.6,1,0.2,20,3,100,0.1,10,0.4,0.5086699089070269
928,0.6,1,0.2,20,1,100,0.1,10,0.4,0.5086655359762451
634,0.6,1,0.05,20,5,100,0.0,10,0.4,0.5081022170121609
964,0.6,1,0.2,20,5,100,0.1,10,0.4,0.507567247550761
622,0.6,1,0.05,20,3,100,0.1,10,0.4,0.5066150774886531
604,0.6,1,0.05,20,1,100,0.1,10,0.4,0.5065309469637375
640,0.6,1,0.05,20,5,100,0.1,10,0.4,0.5062482896866147
784,0.6,1,0.1,20,3,100,0.1,10,0.4,0.5056369978932655
766,0.6,1,0.1,20,1,100,0.1,10,0.4,0.5055663773341903
802,0.6,1,0.1,20,5,100,0.1,10,0.4,0.50511449190041
949,0.6,1,0.2,20,3,100,1.0,1,0.4,0.5038871209035829
2428,0.8,1,0.2,20,5,100,1.0,10,0.4,0.5030066623603153
931,0.6,1,0.2,20,1,100,1.0,1,0.4,0.502939193910723
2410,0.8,1,0.2,20,3,100,1.0,10,0.4,0.5027945891973882
2392,0.8,1,0.2,20,1,100,1.0,10,0.4,0.5025704246709655
967,0.6,1,0.2,20,5,100,1.0,1,0.4,0.5010617266621278
2266,0.8,1,0.1,20,5,100,1.0,10,0.4,0.5009670433113754
2230,0.8,1,0.1,20,1,100,1.0,10,0.4,0.5008231383723653
805,0.6,1,0.1,20,5,100,1.0,1,0.4,0.500537678604009
2248,0.8,1,0.1,20,3,100,1.0,10,0.4,0.5004313576309531
607,0.6,1,0.05,20,1,100,1.0,1,0.4,0.5001656338653171
2104,0.8,1,0.05,20,5,100,1.0,10,0.4,0.49991120520689847
625,0.6,1,0.05,20,3,100,1.0,1,0.4,0.4998556963889234
643,0.6,1,0.05,20,5,100,1.0,1,0.4,0.499616652302003
787,0.6,1,0.1,20,3,100,1.0,1,0.4,0.49860134887194896
769,0.6,1,0.1,20,1,100,1.0,1,0.4,0.49825130235180176
2068,0.8,1,0.05,20,1,100,1.0,10,0.4,0.4979729512807016
2086,0.8,1,0.05,20,3,100,1.0,10,0.4,0.49767174518981355
3870,1.0,1,0.2,20,5,100,0.0,1,0.3,0.49268801730636086
3852,1.0,1,0.2,20,3,100,0.0,1,0.3,0.4922057364177121
3672,1.0,1,0.1,20,1,100,0.0,1,0.3,0.4906713732615037
3690,1.0,1,0.1,20,3,100,0.0,1,0.3,0.4903655855872201
3834,1.0,1,0.2,20,1,100,0.0,1,0.3,0.48981015074632683
