,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,score
1753,0.8,0,0.1,20,3,100,0.1,1,0.4,0.9539297209476443
3223,1.0,0,0.1,20,5,100,0.0,1,0.4,0.9537392115250389
3186,1.0,0,0.1,20,1,100,0.0,1,0.3,0.9536855819639103
3358,1.0,0,0.2,20,1,100,0.1,10,0.4,0.9536703756523719
1728,0.8,0,0.1,20,1,100,0.0,1,0.3,0.9536354019978365
1937,0.8,0,0.2,20,5,100,0.1,10,0.5,0.9535648644795639
473,0.6,0,0.2,20,5,100,0.0,10,0.5,0.9535399597908976
3391,1.0,0,0.2,20,5,100,0.1,1,0.4,0.9535038901660041
461,0.6,0,0.2,20,3,100,0.1,10,0.5,0.9534554622603949
436,0.6,0,0.2,20,1,100,0.0,10,0.4,0.9534325487358235
457,0.6,0,0.2,20,3,100,0.1,1,0.4,0.9534157773662628
3370,1.0,0,0.2,20,3,100,0.0,10,0.4,0.9533930489437556
1765,0.8,0,0.1,20,5,100,0.0,1,0.4,0.9533513888590207
1568,0.8,0,0.05,20,1,100,0.0,1,0.5,0.9532841819273233
110,0.6,0,0.05,20,1,100,0.0,1,0.5,0.9532569559181123
270,0.6,0,0.1,20,1,100,0.0,1,0.3,0.9531872684679167
3026,1.0,0,0.05,20,1,100,0.0,1,0.5,0.9531772484309137
295,0.6,0,0.1,20,3,100,0.1,1,0.4,0.9531451227985235
1933,0.8,0,0.2,20,5,100,0.1,1,0.4,0.9530659802336288
1912,0.8,0,0.2,20,3,100,0.0,10,0.4,0.9529927945871772
1900,0.8,0,0.2,20,1,100,0.1,10,0.4,0.9529728831384942
451,0.6,0,0.2,20,3,100,0.0,1,0.4,0.9529684339303689
3376,1.0,0,0.2,20,3,100,0.1,10,0.4,0.9528795456809018
307,0.6,0,0.1,20,5,100,0.0,1,0.4,0.9528636394169243
3229,1.0,0,0.1,20,5,100,0.1,1,0.4,0.9526640412565973
479,0.6,0,0.2,20,5,100,0.1,10,0.5,0.9525579967188907
3385,1.0,0,0.2,20,5,100,0.0,1,0.4,0.952538933900788
1927,0.8,0,0.2,20,5,100,0.0,1,0.4,0.9524210948175131
3191,1.0,0,0.1,20,1,100,0.0,10,0.5,0.9523929816715107
3044,1.0,0,0.05,20,3,100,0.0,1,0.5,0.9523913675894656
3388,1.0,0,0.2,20,5,100,0.0,10,0.4,0.9523199010921178
1586,0.8,0,0.05,20,3,100,0.0,1,0.5,0.9523100965743494
1771,0.8,0,0.1,20,5,100,0.1,1,0.4,0.9522928113363932
454,0.6,0,0.2,20,3,100,0.0,10,0.4,0.9522727757376579
3354,1.0,0,0.2,20,1,100,0.1,1,0.3,0.9522634204462799
1733,0.8,0,0.1,20,1,100,0.0,10,0.5,0.952245727153028
475,0.6,0,0.2,20,5,100,0.1,1,0.4,0.9522050218013909
3192,1.0,0,0.1,20,1,100,0.1,1,0.3,0.9521717164408157
1918,0.8,0,0.2,20,3,100,0.1,10,0.4,0.9521360665070878
3204,1.0,0,0.1,20,3,100,0.0,1,0.3,0.9521044293536596
128,0.6,0,0.05,20,3,100,0.0,1,0.5,0.9520415563029634
442,0.6,0,0.2,20,1,100,0.1,10,0.4,0.9519376154250564
275,0.6,0,0.1,20,1,100,0.0,10,0.5,0.9518761650852643
1896,0.8,0,0.2,20,1,100,0.1,1,0.3,0.9518364497557208
1746,0.8,0,0.1,20,3,100,0.0,1,0.3,0.9518220092832934
3394,1.0,0,0.2,20,5,100,0.1,10,0.4,0.9517967127406493
1930,0.8,0,0.2,20,5,100,0.0,10,0.4,0.951574534374539
1734,0.8,0,0.1,20,1,100,0.1,1,0.3,0.9515531457382658
1890,0.8,0,0.2,20,1,100,0.0,1,0.3,0.9515218474280545
469,0.6,0,0.2,20,5,100,0.0,1,0.4,0.9514934818373574
3348,1.0,0,0.2,20,1,100,0.0,1,0.3,0.9514634060602672
3209,1.0,0,0.1,20,3,100,0.0,10,0.5,0.951446358273534
313,0.6,0,0.1,20,5,100,0.1,1,0.4,0.9513973475240153
288,0.6,0,0.1,20,3,100,0.0,1,0.3,0.9513042249004007
3197,1.0,0,0.1,20,1,100,0.1,10,0.5,0.9511847816916946
1751,0.8,0,0.1,20,3,100,0.0,10,0.5,0.9511708031692283
3351,1.0,0,0.2,20,1,100,0.0,10,0.3,0.9511300765650805
460,0.6,0,0.2,20,3,100,0.1,10,0.4,0.9510783690736005
472,0.6,0,0.2,20,5,100,0.0,10,0.4,0.9510668795686626
3372,1.0,0,0.2,20,3,100,0.1,1,0.3,0.951059555731727
1936,0.8,0,0.2,20,5,100,0.1,10,0.4,0.9509610609385086
3025,1.0,0,0.05,20,1,100,0.0,1,0.4,0.9509488605415102
1914,0.8,0,0.2,20,3,100,0.1,1,0.3,0.9508688412730286
3210,1.0,0,0.1,20,3,100,0.1,1,0.3,0.9508399533128447
1739,0.8,0,0.1,20,1,100,0.1,10,0.5,0.950837610769236
438,0.6,0,0.2,20,1,100,0.1,1,0.3,0.9507160303778193
1893,0.8,0,0.2,20,1,100,0.0,10,0.3,0.9506967541143572
1567,0.8,0,0.05,20,1,100,0.0,1,0.4,0.9506314386870924
432,0.6,0,0.2,20,1,100,0.0,1,0.3,0.9505541920751639
109,0.6,0,0.05,20,1,100,0.0,1,0.4,0.9505504180587412
293,0.6,0,0.1,20,3,100,0.0,10,0.5,0.9505243795016597
276,0.6,0,0.1,20,1,100,0.1,1,0.3,0.9504447668885089
3062,1.0,0,0.05,20,5,100,0.0,1,0.5,0.9502402634765701
3215,1.0,0,0.1,20,3,100,0.1,10,0.5,0.9502236140762582
3366,1.0,0,0.2,20,3,100,0.0,1,0.3,0.9502077612879342
3357,1.0,0,0.2,20,1,100,0.1,10,0.3,0.9501445914544666
3369,1.0,0,0.2,20,3,100,0.0,10,0.3,0.950077567566807
3227,1.0,0,0.1,20,5,100,0.0,10,0.5,0.9500569651666094
435,0.6,0,0.2,20,1,100,0.0,10,0.3,0.9500514197394228
478,0.6,0,0.2,20,5,100,0.1,10,0.4,0.9499709399176769
1752,0.8,0,0.1,20,3,100,0.1,1,0.3,0.9499129525771444
281,0.6,0,0.1,20,1,100,0.1,10,0.5,0.9498740409370378
456,0.6,0,0.2,20,3,100,0.1,1,0.3,0.9498603849525249
1604,0.8,0,0.05,20,5,100,0.0,1,0.5,0.9498488876683421
1769,0.8,0,0.1,20,5,100,0.0,10,0.5,0.9497922848314995
1908,0.8,0,0.2,20,3,100,0.0,1,0.3,0.9497900727541895
3390,1.0,0,0.2,20,5,100,0.1,1,0.3,0.9497165352416921
3190,1.0,0,0.1,20,1,100,0.0,10,0.4,0.949692008358755
1757,0.8,0,0.1,20,3,100,0.1,10,0.5,0.9496533755087209
1899,0.8,0,0.2,20,1,100,0.1,10,0.3,0.9496467644410057
146,0.6,0,0.05,20,5,100,0.0,1,0.5,0.9496050671678471
3222,1.0,0,0.1,20,5,100,0.0,1,0.3,0.9495904738495147
1732,0.8,0,0.1,20,1,100,0.0,10,0.4,0.9494888886516641
3043,1.0,0,0.05,20,3,100,0.0,1,0.4,0.9494773026464374
1932,0.8,0,0.2,20,5,100,0.1,1,0.3,0.9494762612608885
3375,1.0,0,0.2,20,3,100,0.1,10,0.3,0.9493885914588679
1911,0.8,0,0.2,20,3,100,0.0,10,0.3,0.9493697600879966
3032,1.0,0,0.05,20,1,100,0.1,1,0.5,0.9493547843970432
294,0.6,0,0.1,20,3,100,0.1,1,0.3,0.9492557615380843
311,0.6,0,0.1,20,5,100,0.0,10,0.5,0.9491829267643718
1764,0.8,0,0.1,20,5,100,0.0,1,0.3,0.9491616474654142
450,0.6,0,0.2,20,3,100,0.0,1,0.3,0.9491540891006522
1585,0.8,0,0.05,20,3,100,0.0,1,0.4,0.9491306313342112
3233,1.0,0,0.1,20,5,100,0.1,10,0.5,0.9491049783753294
299,0.6,0,0.1,20,3,100,0.1,10,0.5,0.9490199017804635
1574,0.8,0,0.05,20,1,100,0.1,1,0.5,0.948956964560872
3208,1.0,0,0.1,20,3,100,0.0,10,0.4,0.9489148901935263
3228,1.0,0,0.1,20,5,100,0.1,1,0.3,0.9487992313159055
274,0.6,0,0.1,20,1,100,0.0,10,0.4,0.9487238922155719
306,0.6,0,0.1,20,5,100,0.0,1,0.3,0.9486645148047366
3387,1.0,0,0.2,20,5,100,0.0,10,0.3,0.9486333707423258
127,0.6,0,0.05,20,3,100,0.0,1,0.4,0.9485592025758779
3384,1.0,0,0.2,20,5,100,0.0,1,0.3,0.9485578376456774
3050,1.0,0,0.05,20,3,100,0.1,1,0.5,0.9484612142852867
116,0.6,0,0.05,20,1,100,0.1,1,0.5,0.948452479501771
453,0.6,0,0.2,20,3,100,0.0,10,0.3,0.9484386940468046
1917,0.8,0,0.2,20,3,100,0.1,10,0.3,0.9483944907014994
1750,0.8,0,0.1,20,3,100,0.0,10,0.4,0.9483797816823859
474,0.6,0,0.2,20,5,100,0.1,1,0.3,0.9483439408075638
3196,1.0,0,0.1,20,1,100,0.1,10,0.4,0.9483148600620919
1775,0.8,0,0.1,20,5,100,0.1,10,0.5,0.9482038275081122
3393,1.0,0,0.2,20,5,100,0.1,10,0.3,0.9481039913161478
441,0.6,0,0.2,20,1,100,0.1,10,0.3,0.9480680454280209
1770,0.8,0,0.1,20,5,100,0.1,1,0.3,0.948019297262465
1926,0.8,0,0.2,20,5,100,0.0,1,0.3,0.9478957246476971
1592,0.8,0,0.05,20,3,100,0.1,1,0.5,0.9478713700249596
1929,0.8,0,0.2,20,5,100,0.0,10,0.3,0.9478425551839915
1738,0.8,0,0.1,20,1,100,0.1,10,0.4,0.9476923745837096
317,0.6,0,0.1,20,5,100,0.1,10,0.5,0.9475528678152603
292,0.6,0,0.1,20,3,100,0.0,10,0.4,0.9474528399307409
3214,1.0,0,0.1,20,3,100,0.1,10,0.4,0.9474507163058916
468,0.6,0,0.2,20,5,100,0.0,1,0.3,0.9472206212637839
3226,1.0,0,0.1,20,5,100,0.0,10,0.4,0.9471614004836123
1935,0.8,0,0.2,20,5,100,0.1,10,0.3,0.9470925042401017
459,0.6,0,0.2,20,3,100,0.1,10,0.3,0.9470819083995627
134,0.6,0,0.05,20,3,100,0.1,1,0.5,0.9470554013662396
3061,1.0,0,0.05,20,5,100,0.0,1,0.4,0.9469162236068511
312,0.6,0,0.1,20,5,100,0.1,1,0.3,0.9468778107504813
3024,1.0,0,0.05,20,1,100,0.0,1,0.3,0.9467125025812827
3031,1.0,0,0.05,20,1,100,0.1,1,0.4,0.9466856376530195
471,0.6,0,0.2,20,5,100,0.0,10,0.3,0.9466320706564513
1756,0.8,0,0.1,20,3,100,0.1,10,0.4,0.946531206979038
3068,1.0,0,0.05,20,5,100,0.1,1,0.5,0.9465113279472309
1566,0.8,0,0.05,20,1,100,0.0,1,0.3,0.9464739810680374
280,0.6,0,0.1,20,1,100,0.1,10,0.4,0.9464192011023599
1768,0.8,0,0.1,20,5,100,0.0,10,0.4,0.9464068107134228
1573,0.8,0,0.05,20,1,100,0.1,1,0.4,0.9461519168489391
1603,0.8,0,0.05,20,5,100,0.0,1,0.4,0.9460348368118172
3232,1.0,0,0.1,20,5,100,0.1,10,0.4,0.9459091182243806
1610,0.8,0,0.05,20,5,100,0.1,1,0.5,0.9458894543232365
108,0.6,0,0.05,20,1,100,0.0,1,0.3,0.945816681246084
145,0.6,0,0.05,20,5,100,0.0,1,0.4,0.9457325023740081
3189,1.0,0,0.1,20,1,100,0.0,10,0.3,0.945709841394143
310,0.6,0,0.1,20,5,100,0.0,10,0.4,0.9456020995159807
477,0.6,0,0.2,20,5,100,0.1,10,0.3,0.9455750319483964
298,0.6,0,0.1,20,3,100,0.1,10,0.4,0.9453320974219203
3049,1.0,0,0.05,20,3,100,0.1,1,0.4,0.9453023936302024
3042,1.0,0,0.05,20,3,100,0.0,1,0.3,0.9451984739150079
152,0.6,0,0.05,20,5,100,0.1,1,0.5,0.9451916429255665
1774,0.8,0,0.1,20,5,100,0.1,10,0.4,0.9450742113237286
1731,0.8,0,0.1,20,1,100,0.0,10,0.3,0.945073600175547
115,0.6,0,0.05,20,1,100,0.1,1,0.4,0.9450428987922093
1591,0.8,0,0.05,20,3,100,0.1,1,0.4,0.9444065442723284
